OPP,Result,T Score,LAST_N_3PTM,LAST_N_PTS,SEASON_AVG,PTS,ORDER
CHI,0,87,4.111111111111111,25.11111111111111,27.416666666666668,23,5
WSH,0,108,4.0,25.77777777777778,27.2972972972973,25,27
PHI,1,119,3.4444444444444446,26.0,27.23684210526316,19,10
BKN,1,112,2.7777777777777777,25.0,27.025641025641026,27,19
LAC,1,123,3.111111111111111,25.22222222222222,27.025,35,15
SAC,1,109,3.2222222222222223,25.88888888888889,27.21951219512195,13,8
DEN,0,110,3.333333333333333,24.444444444444443,26.88095238095238,11,11
OKC,1,130,3.2222222222222223,23.11111111111111,26.511627906976745,26,23
MEM,1,122,3.0,23.33333333333333,26.5,18,16
CHI,1,123,2.6666666666666665,21.88888888888889,26.31111111111111,13,5
SAC,0,106,2.555555555555556,20.77777777777778,26.02173913043478,35,8
LAC,1,133,3.2222222222222223,21.88888888888889,26.21276595744681,29,15
CHA,1,126,3.555555555555556,23.0,26.27083333333333,39,25
LAC,1,144,4.222222222222222,24.33333333333333,26.53061224489796,43,15
CHA,1,113,4.555555555555555,25.22222222222222,26.86,28,25
MIA,0,102,5.0,26.88888888888889,26.88235294117647,21,22
ORL,1,118,5.222222222222222,28.0,26.76923076923077,27,20
HOU,1,125,5.555555555555555,28.11111111111111,26.77358490566038,24,14
OKC,1,121,5.888888888888889,28.77777777777778,26.72222222222222,24,23
CLE,1,126,6.0,30.0,26.672727272727272,20,17
DET,1,127,5.666666666666667,28.33333333333333,26.553571428571427,24,9
MIA,1,107,5.666666666666667,27.77777777777778,26.50877192982456,24,22
SAC,1,117,4.888888888888889,26.11111111111111,26.46551724137931,30,8
MEM,0,119,4.444444444444445,24.666666666666668,26.52542372881356,40,16
POR,1,125,4.333333333333333,26.0,26.75,35,29
DEN,1,127,4.555555555555555,27.55555555555556,26.885245901639344,22,11
DAL,1,108,4.111111111111111,27.0,26.806451612903224,14,13
TOR,1,121,3.888888888888889,25.88888888888889,26.603174603174605,28,28
CLE,0,108,4.0,26.33333333333333,26.625,15,17
DET,1,119,3.6666666666666665,25.77777777777778,26.446153846153845,25,9
BKN,1,117,3.888888888888889,25.88888888888889,26.424242424242426,15,19
UTA,1,104,3.7777777777777777,24.88888888888889,26.253731343283583,25,12
POR,1,135,3.6666666666666665,24.33333333333333,26.235294117647054,19,29
NYK,1,103,3.6666666666666665,22.0,26.130434782608692,8,24
NOP,1,113,3.333333333333333,19.0,25.87142857142857,30,26
MIN,1,116,3.555555555555556,19.88888888888889,25.92957746478873,22,21
MEM,0,89,3.4444444444444446,20.77777777777778,25.875,17,16
UTA,1,106,3.4444444444444446,19.55555555555556,25.753424657534246,26,12
LAC,1,115,3.555555555555556,20.77777777777778,25.75675675675676,19,15
IND,1,142,3.0,20.11111111111111,25.666666666666668,13,1
PHX,1,138,2.888888888888889,19.88888888888889,25.5,31,4
HOU,0,127,3.0,20.55555555555556,25.571428571428573,28,14
ATL,1,105,2.888888888888889,21.55555555555556,25.602564102564106,25,7
MIN,1,115,3.111111111111111,23.444444444444443,25.59493670886076,34,21
LAL,1,109,3.0,23.88888888888889,25.7,24,3
LAL,1,149,3.2222222222222223,24.11111111111111,25.679012345679013,31,3
IND,1,120,3.6666666666666665,25.666666666666668,25.74390243902439,22,1
MIL,1,124,3.555555555555556,25.22222222222222,25.698795180722893,20,2
BOS,1,104,3.6666666666666665,25.33333333333333,25.63095238095238,16,18
TOR,1,127,3.6666666666666665,25.666666666666668,25.51764705882353,35,28
PHX,1,133,3.4444444444444446,26.11111111111111,25.627906976744185,30,4
DEN,1,125,3.555555555555556,26.33333333333333,25.67816091954023,33,11
DAL,1,116,3.888888888888889,27.22222222222222,25.76136363636364,24,13
NOP,1,116,3.888888888888889,26.11111111111111,25.741573033707866,46,26
LAL,0,97,4.888888888888889,28.55555555555556,25.966666666666665,13,3
OKC,1,122,4.111111111111111,26.55555555555556,25.824175824175825,21,23
POR,1,127,4.111111111111111,26.444444444444443,25.77173913043478,28,29
PHX,1,106,4.555555555555555,27.33333333333333,25.795698924731184,28,4
NOP,1,122,4.888888888888889,28.666666666666668,25.81914893617021,23,26
SAS,0,100,5.0,27.33333333333333,25.789473684210527,26,6
CLE,1,110,7.0,37.0,37.0,11,17
CLE,1,122,4.0,24.0,24.0,33,17
CLE,1,124,5.666666666666667,27.0,27.0,29,17
HOU,1,101,5.5,27.5,27.5,27,14
HOU,1,115,5.8,27.4,27.4,29,14
HOU,0,94,5.666666666666667,27.666666666666668,27.666666666666668,22,14
HOU,0,92,5.142857142857143,26.857142857142858,26.857142857142858,28,14
HOU,1,126,5.25,27.0,27.0,35,14
HOU,0,105,5.222222222222222,27.88888888888889,27.88888888888889,16,14
HOU,1,119,4.555555555555555,25.55555555555556,26.7,18,14
NOP,1,113,4.555555555555555,26.33333333333333,25.90909090909091,28,26
NOP,1,118,3.888888888888889,25.77777777777778,26.08333333333333,23,26
NOP,0,100,3.7777777777777777,25.11111111111111,25.846153846153847,19,26
NOP,1,121,3.333333333333333,24.22222222222222,25.357142857142858,28,26
ATL,1,106,3.333333333333333,24.11111111111111,25.53333333333333,29,7
BKN,1,114,3.4444444444444446,24.88888888888889,25.75,34,19
ATL,1,114,3.4444444444444446,25.55555555555556,26.235294117647054,28,7
WSH,1,109,3.333333333333333,24.77777777777778,26.33333333333333,25,27
NYK,1,125,3.6666666666666665,25.77777777777778,26.26315789473684,21,24
OKC,1,112,4.0,26.11111111111111,26.0,21,23
LAC,1,134,4.222222222222222,25.33333333333333,25.761904761904763,44,15
POR,0,117,4.666666666666667,27.666666666666668,26.59090909090909,17,29
PHX,1,129,4.666666666666667,27.444444444444443,26.17391304347826,22,4
SAS,1,122,4.444444444444445,26.77777777777778,26.0,17,6
DAL,1,121,4.444444444444445,25.444444444444443,25.64,20,13
OKC,0,105,4.222222222222222,23.88888888888889,25.423076923076923,21,23
DEN,0,108,4.0,23.11111111111111,25.25925925925926,24,11
SAC,1,119,4.111111111111111,23.0,25.214285714285715,23,8
UTA,0,99,4.0,23.22222222222222,25.13793103448276,14,12
BOS,1,109,3.555555555555556,22.444444444444443,24.766666666666666,49,18
MIN,1,126,3.555555555555556,23.0,25.548387096774192,25,21
NYK,1,123,3.7777777777777777,23.88888888888889,25.53125,32,24
HOU,0,108,4.333333333333333,25.0,25.727272727272727,19,14
CHI,1,119,4.555555555555555,25.22222222222222,25.529411764705884,30,5
CLE,1,118,4.777777777777778,26.33333333333333,25.65714285714286,23,17
TOR,1,127,5.0,26.55555555555556,25.58333333333333,24,28
DEN,1,124,4.666666666666667,26.55555555555556,25.54054054054054,32,11
LAC,1,121,4.888888888888889,27.55555555555556,25.710526315789476,45,15
HOU,1,124,5.666666666666667,31.0,26.205128205128204,29,14
DAL,1,125,5.222222222222222,28.77777777777778,26.275,32,13
MEM,1,141,5.333333333333333,29.55555555555556,26.414634146341463,38,16
NOP,1,125,5.555555555555555,30.22222222222222,26.69047619047619,31,26
MIA,1,123,5.555555555555555,31.55555555555556,26.79069767441861,30,22
ORL,1,133,5.444444444444445,31.55555555555556,26.863636363636363,23,20
LAL,1,127,5.333333333333333,31.55555555555556,26.77777777777778,28,3
NOP,1,110,5.444444444444445,32.0,26.80434782608696,27,26
CHI,1,143,5.222222222222222,31.444444444444443,26.80851063829787,33,5
OKC,0,91,4.777777777777778,30.11111111111111,26.9375,24,23
BKN,1,118,4.666666666666667,29.55555555555556,26.877551020408163,39,19
PHI,1,124,4.444444444444445,30.33333333333333,27.12,35,10
BOS,0,88,3.7777777777777777,30.0,27.274509803921568,9,18
PHI,1,135,3.4444444444444446,27.55555555555556,26.923076923076923,22,10
MIN,1,125,3.2222222222222223,26.666666666666668,26.83018867924528,22,21
MIA,1,97,3.111111111111111,26.55555555555556,26.74074074074074,16,22
DEN,1,127,3.0,25.22222222222222,26.545454545454547,22,11
SAS,1,112,3.2222222222222223,24.666666666666668,26.464285714285715,21,6
LAC,1,141,3.111111111111111,23.33333333333333,26.36842105263158,31,15
DET,0,107,3.555555555555556,24.11111111111111,26.448275862068964,27,9
WSH,1,120,3.4444444444444446,22.77777777777778,26.45762711864407,20,27
TOR,1,117,3.333333333333333,21.11111111111111,26.35,30,28
DAL,1,133,3.555555555555556,23.444444444444443,26.40983606557377,29,13
MEM,0,101,3.4444444444444446,24.22222222222222,26.451612903225808,37,16
NOP,1,128,3.888888888888889,25.88888888888889,26.61904761904762,28,26
HOU,0,121,4.111111111111111,27.22222222222222,26.640625,22,14
TOR,1,106,3.0,21.0,21.0,31,28
TOR,0,92,4.0,26.0,26.0,27,28
TOR,0,109,3.333333333333333,26.33333333333333,26.33333333333333,47,28
TOR,1,109,4.0,31.5,31.5,23,28
TOR,0,109,3.8,29.8,29.8,34,28
POR,1,119,3.8333333333333335,30.5,30.5,37,29
POR,1,110,4.285714285714286,31.428571428571427,31.428571428571427,36,29
POR,1,114,4.5,32.0,32.0,37,29
POR,1,116,4.444444444444445,32.55555555555556,32.55555555555556,36,29
HOU,1,118,5.111111111111111,34.22222222222222,32.9,33,14
HOU,1,104,5.0,34.44444444444444,32.90909090909091,25,14
HOU,0,108,5.111111111111111,34.22222222222222,32.25,30,14
HOU,0,121,4.888888888888889,32.333333333333336,32.07692307692308,17,14
HOU,1,115,4.777777777777778,31.666666666666668,31.0,20,14
HOU,1,104,4.666666666666667,30.11111111111111,30.266666666666666,18,14
LAC,1,129,4.222222222222222,28.0,29.5,24,15
LAC,0,121,3.7777777777777777,26.666666666666668,29.176470588235293,24,15
LAC,1,113,3.7777777777777777,25.22222222222222,28.88888888888889,12,15
LAC,1,132,2.888888888888889,22.55555555555556,28.0,21,15
LAC,0,131,2.888888888888889,21.22222222222222,27.65,29,15
LAC,1,121,3.111111111111111,21.666666666666668,27.714285714285715,38,15
LAC,1,131,3.555555555555556,22.55555555555556,28.181818181818183,27,15
CLE,1,120,3.6666666666666665,23.666666666666668,28.130434782608692,40,17
LAL,1,108,4.333333333333333,25.88888888888889,28.625,7,3
DEN,1,116,4.111111111111111,24.666666666666668,27.76,17,11
CHA,1,137,4.444444444444445,23.88888888888889,27.346153846153847,25,25
MIN,0,130,4.555555555555555,24.0,27.25925925925926,37,21
MEM,1,118,5.666666666666667,26.77777777777778,27.607142857142858,28,16
DET,1,121,5.888888888888889,27.55555555555556,27.620689655172413,26,9
IND,1,112,5.888888888888889,27.22222222222222,27.566666666666663,15,1
MIN,1,117,5.555555555555555,24.666666666666668,27.161290322580644,36,21
SAS,0,105,6.111111111111111,25.666666666666668,27.4375,25,6
OKC,1,110,5.777777777777778,24.0,27.363636363636363,33,23
HOU,1,106,6.222222222222222,26.88888888888889,27.529411764705884,24,14
PHX,0,111,6.0,27.666666666666668,27.428571428571427,18,4
DEN,1,122,5.888888888888889,26.88888888888889,27.166666666666668,17,11
BOS,0,95,5.111111111111111,24.666666666666668,26.89189189189189,23,18
PHI,1,120,4.888888888888889,24.11111111111111,26.789473684210527,28,10
ORL,0,96,4.888888888888889,24.33333333333333,26.82051282051282,33,20
MIA,0,125,4.888888888888889,26.33333333333333,26.975,24,22
CHA,1,121,4.444444444444445,25.0,26.902439024390244,16,25
HOU,0,112,4.222222222222222,24.0,26.642857142857142,25,14
SAC,1,125,4.222222222222222,23.11111111111111,26.6046511627907,36,8
POR,0,107,5.0,24.444444444444443,26.818181818181817,32,29
UTA,1,115,5.111111111111111,26.0,26.933333333333334,24,12
MIA,1,120,5.222222222222222,26.77777777777778,26.869565217391305,25,22
PHX,1,117,5.333333333333333,27.0,26.829787234042552,20,4
SAS,1,141,5.111111111111111,26.11111111111111,26.6875,19,6
LAL,1,115,4.888888888888889,24.55555555555556,26.53061224489796,14,3
PHI,0,104,4.666666666666667,23.444444444444443,26.28,41,10
IND,1,132,5.333333333333333,26.22222222222222,26.568627450980397,26,1
BOS,1,115,5.444444444444445,26.33333333333333,26.557692307692307,24,18
WSH,1,126,5.0,25.0,26.50943396226415,38,27
LAL,1,130,4.666666666666667,25.666666666666668,26.72222222222222,11,3
LAC,1,112,4.333333333333333,24.22222222222222,26.43636363636364,28,15
NOP,1,147,4.111111111111111,24.55555555555556,26.464285714285715,41,26
DEN,1,142,4.777777777777778,26.88888888888889,26.719298245614038,31,11
DAL,1,119,5.333333333333333,28.22222222222222,26.79310344827586,48,13
CHI,1,146,6.333333333333333,32.0,27.15254237288136,28,5
NYK,1,122,5.777777777777778,30.55555555555556,27.166666666666668,14,24
SAC,1,127,5.444444444444445,29.22222222222222,26.950819672131143,42,8
HOU,0,134,5.888888888888889,31.22222222222222,27.193548387096776,35,14
PHX,1,132,6.222222222222222,30.88888888888889,27.31746031746032,34,4
POR,1,115,6.555555555555555,33.44444444444444,27.421875,25,29
POR,0,109,6.444444444444445,33.111111111111114,27.384615384615383,29,29
LAL,0,101,6.111111111111111,31.77777777777778,27.40909090909091,15,3
LAC,1,129,5.444444444444445,30.0,27.22388059701493,42,15
DAL,1,120,4.888888888888889,29.33333333333333,27.44117647058824,22,13
UTA,0,103,5.0,28.666666666666668,27.36231884057971,32,12
MEM,1,110,5.222222222222222,30.666666666666668,27.428571428571427,20,16
SAC,1,130,4.444444444444445,28.22222222222222,27.323943661971832,35,8
TOR,0,93,4.444444444444445,28.22222222222222,27.43055555555556,10,28
MIN,1,116,4.111111111111111,25.55555555555556,27.19178082191781,38,21
MIL,1,105,4.666666666666667,27.0,27.33783783783784,20,2
CLE,1,129,4.444444444444445,26.0,27.24,42,17
ATL,1,128,5.222222222222222,29.0,27.43421052631579,30,7
DET,0,102,5.222222222222222,27.666666666666668,27.467532467532468,27,9
MIL,0,111,4.888888888888889,28.22222222222222,27.46153846153846,10,2
MEM,1,117,4.333333333333333,25.77777777777778,27.240506329113924,19,16
MIN,1,116,4.333333333333333,25.666666666666668,27.1375,28,21
NOP,1,131,4.222222222222222,24.88888888888889,27.14814814814815,37,26
CHI,1,149,4.777777777777778,27.88888888888889,27.26829268292683,23,5
BKN,1,120,4.222222222222222,26.22222222222222,27.21686746987952,35,19
NYK,1,128,4.555555555555555,27.88888888888889,27.30952380952381,29,24
WSH,1,144,4.222222222222222,26.444444444444443,27.32941176470588,51,27
PHX,1,123,4.777777777777778,28.77777777777778,27.6046511627907,29,4
DEN,0,98,5.111111111111111,29.0,27.620689655172413,30,11
UTA,1,124,5.777777777777778,31.22222222222222,27.647727272727277,31,12
OKC,1,108,6.0,32.55555555555556,27.685393258426966,32,23
PHX,0,110,3.0,23.0,23.0,9,4
NOP,1,134,2.0,16.0,16.0,26,26
OKC,0,92,2.6666666666666665,19.33333333333333,19.33333333333333,23,23
LAC,0,122,2.5,20.25,20.25,23,15
PHX,1,122,9.0,46.0,46.0,21,4
UTA,1,119,5.0,33.5,33.5,36,12
OKC,1,136,4.333333333333333,34.333333333333336,34.333333333333336,49,23
OKC,1,118,6.0,38.0,38.0,34,23
NOP,0,103,6.0,37.2,37.2,37,26
NOP,1,123,6.333333333333333,37.16666666666666,37.16666666666666,41,26
HOU,1,113,6.571428571428571,37.71428571428572,37.71428571428572,30,14
MIN,0,114,6.625,36.75,36.75,37,21
DAL,0,103,6.555555555555555,36.77777777777778,36.77777777777778,27,13
SAC,1,117,6.111111111111111,34.666666666666664,35.8,37,8
DEN,1,118,6.777777777777778,36.44444444444444,35.90909090909091,32,11
WSH,0,114,6.888888888888889,36.0,35.583333333333336,18,27
PHI,1,107,5.888888888888889,32.55555555555556,34.23076923076923,49,10
BOS,0,114,6.333333333333333,34.22222222222222,35.285714285714285,47,18
CLE,1,119,6.666666666666667,35.333333333333336,36.06666666666667,33,17
OKC,1,147,6.222222222222222,34.44444444444444,35.875,42,23
DEN,1,116,6.666666666666667,35.77777777777778,36.23529411764706,53,11
HOU,1,125,7.111111111111111,37.55555555555556,37.16666666666666,38,14
WSH,0,107,7.444444444444445,38.77777777777778,37.21052631578947,32,27
MIL,1,122,7.222222222222222,38.22222222222222,36.95,41,2
ATL,0,111,7.333333333333333,39.22222222222222,37.142857142857146,37,7
MIA,0,109,7.444444444444445,41.333333333333336,37.13636363636363,36,22
CHI,1,116,6.888888888888889,39.888888888888886,37.08695652173913,32,5
HOU,1,108,6.333333333333333,38.22222222222222,36.875,18,14
LAL,0,97,6.111111111111111,36.55555555555556,36.12,27,3
UTA,1,131,5.333333333333333,34.888888888888886,35.76923076923077,32,12
LAC,0,104,4.888888888888889,32.55555555555556,35.629629629629626,14,15
POR,0,106,4.111111111111111,29.88888888888889,34.857142857142854,35,29
LAL,0,91,4.111111111111111,30.22222222222222,34.86206896551724,16,3
CHA,1,130,3.7777777777777777,27.444444444444443,34.233333333333334,29,25
IND,1,111,3.7777777777777777,26.55555555555556,34.064516129032256,24,1
NYK,1,114,3.333333333333333,25.22222222222222,33.75,37,24
ORL,0,120,3.4444444444444446,25.77777777777778,33.84848484848485,29,20
MIA,1,120,3.888888888888889,27.0,33.705882352941174,25,22
CLE,1,129,4.0,26.77777777777778,33.457142857142856,36,17
BKN,0,117,4.111111111111111,27.22222222222222,33.52777777777778,27,19
ORL,1,111,4.222222222222222,28.666666666666668,33.351351351351354,40,20
SAS,1,114,4.777777777777778,29.22222222222222,33.526315789473685,32,6
SAS,0,100,5.0,31.0,33.48717948717949,32,6
DAL,0,132,5.333333333333333,31.33333333333333,33.45,57,13
DAL,1,147,6.444444444444445,35.0,34.02439024390244,28,13
BOS,0,107,6.111111111111111,34.0,33.88095238095238,38,18
DET,1,118,6.222222222222222,35.0,33.97674418604651,28,9
PHX,0,93,6.333333333333333,35.333333333333336,33.84090909090909,27,4
MIN,1,123,6.111111111111111,34.333333333333336,33.68888888888889,16,21
MIN,1,130,6.333333333333333,33.111111111111114,33.30434782608695,36,21
UTA,0,108,6.0,32.666666666666664,33.361702127659576,24,12
NYK,0,104,6.111111111111111,31.77777777777778,33.166666666666664,30,24
SAS,1,121,6.0,31.55555555555556,33.10204081632653,26,6
LAL,1,115,5.222222222222222,28.11111111111111,32.96,26,3
DEN,0,104,5.111111111111111,27.88888888888889,32.8235294117647,35,11
IND,0,95,4.888888888888889,27.55555555555556,32.86538461538461,20,1
TOR,1,106,4.555555555555555,26.666666666666668,32.62264150943396,11,28
LAC,1,115,4.111111111111111,24.88888888888889,32.22222222222222,38,15
LAC,0,101,4.666666666666667,27.33333333333333,32.32727272727273,13,15
SAC,1,137,4.0,24.77777777777778,31.982142857142858,30,8
POR,1,137,4.0,25.444444444444443,31.94736842105263,62,29
POR,0,98,4.333333333333333,29.0,32.46551724137931,26,29
DET,1,116,4.333333333333333,29.0,32.355932203389834,31,9
CHI,1,129,4.555555555555555,29.55555555555556,32.333333333333336,36,5
MIL,0,99,4.555555555555555,29.666666666666668,32.39344262295082,19,2
BKN,0,99,4.444444444444445,29.55555555555556,32.17741935483871,20,19
MEM,0,112,4.555555555555555,30.55555555555556,31.984126984126984,39,16
LAL,0,100,4.222222222222222,30.666666666666668,32.09375,37,3
SAC,1,113,4.777777777777778,33.333333333333336,32.16923076923077,29,8
SAC,0,113,4.888888888888889,33.22222222222222,32.121212121212125,29,8
DEN,1,107,4.555555555555555,29.55555555555556,32.07462686567164,10,11
