OPP,Result,T Score,LAST_N_3PTM,LAST_N_PTS,SEASON_AVG,PTS
UTA,0,94,4.0,42.0,42.0,17
OKC,1,120,2.5,29.5,29.5,25
LAC,0,104,2.6666666666666665,28.0,28.0,29
MIN,1,116,3.25,28.25,28.25,27
WSH,0,94,3.2,28.0,28.0,27
TOR,1,113,3.1666666666666665,27.833333333333332,27.833333333333332,29
NYK,1,128,3.4285714285714284,28.0,28.0,15
UTA,0,104,3.125,26.375,26.375,15
LAC,1,121,2.888888888888889,25.11111111111111,25.11111111111111,18
DAL,0,90,2.6666666666666665,22.444444444444443,24.4,17
MEM,1,128,2.888888888888889,22.444444444444443,23.727272727272727,30
PHX,0,131,3.0,23.0,24.25,14
MEM,0,107,2.6666666666666665,21.333333333333332,23.46153846153846,9
LAL,0,121,2.4444444444444446,19.333333333333332,22.428571428571427,29
TOR,1,124,2.6666666666666665,19.555555555555557,22.866666666666667,35
POR,0,105,2.6666666666666665,20.22222222222222,23.625,15
NOP,0,131,2.7777777777777777,20.22222222222222,23.11764705882353,12
CHA,0,90,2.888888888888889,19.88888888888889,22.5,25
ATL,0,122,3.111111111111111,20.666666666666668,22.63157894736842,31
ORL,0,90,3.3333333333333335,22.22222222222222,23.05,9
MIA,0,106,3.0,19.88888888888889,22.38095238095238,18
DET,1,95,3.111111111111111,20.333333333333332,22.181818181818183,27
DEN,0,112,3.3333333333333335,22.333333333333332,22.391304347826086,30
PHI,0,102,3.0,22.444444444444443,22.708333333333332,17
ATL,1,108,2.5555555555555554,20.444444444444443,22.48,32
UTA,0,89,2.4444444444444446,22.333333333333332,22.846153846153847,13
SAC,1,130,2.5555555555555554,22.444444444444443,22.48148148148148,24
LAL,0,94,2.2222222222222223,22.333333333333332,22.535714285714285,11
LAC,1,132,1.7777777777777777,20.11111111111111,22.137931034482758,36
DAL,0,117,2.4444444444444446,23.11111111111111,22.6,25
OKC,0,95,2.2222222222222223,23.88888888888889,22.677419354838708,23
DAL,0,101,2.2222222222222223,23.444444444444443,22.6875,6
HOU,0,97,2.0,20.77777777777778,22.181818181818183,14
OKC,0,104,2.111111111111111,20.444444444444443,21.941176470588236,14
CHA,0,110,2.2222222222222223,18.444444444444443,21.714285714285715,22
NOP,0,110,2.111111111111111,19.444444444444443,21.72222222222222,15
SAC,0,96,2.111111111111111,18.444444444444443,21.54054054054054,27
PHX,0,103,2.3333333333333335,20.22222222222222,21.68421052631579,25
BKN,1,111,2.0,19.0,21.76923076923077,32
DEN,0,118,2.2222222222222223,19.77777777777778,22.025,15
CHI,1,114,2.2222222222222223,18.88888888888889,21.853658536585368,26
MIL,0,104,2.7777777777777777,21.11111111111111,21.952380952380953,18
MIA,0,102,2.6666666666666665,21.555555555555557,21.86046511627907,9
CLE,0,114,2.7777777777777777,21.0,21.568181818181817,21
SAC,1,108,2.6666666666666665,20.88888888888889,21.555555555555557,12
MIN,1,107,2.6666666666666665,20.555555555555557,21.347826086956523,16
DEN,0,122,2.3333333333333335,19.333333333333332,21.23404255319149,26
POR,0,89,2.5555555555555554,19.444444444444443,21.333333333333332,9
LAL,0,118,2.3333333333333335,16.88888888888889,21.081632653061224,15
PHX,1,132,2.0,16.88888888888889,20.96,13
NOP,0,102,1.7777777777777777,15.444444444444445,20.80392156862745,17
MEM,0,108,2.0,15.333333333333334,20.73076923076923,14
WSH,0,109,1.8888888888888888,15.88888888888889,20.60377358490566,27
SAS,0,91,2.3333333333333335,16.555555555555557,20.72222222222222,8
PHI,0,101,2.2222222222222223,16.11111111111111,20.490909090909092,14
DET,0,95,2.3333333333333335,15.88888888888889,20.375,19
CHI,0,91,2.0,15.11111111111111,20.350877192982455,6
BKN,1,105,1.8888888888888888,14.777777777777779,20.103448275862068,14
OKC,0,88,2.0,14.666666666666666,20.0,22
ORL,0,118,1.8888888888888888,15.666666666666666,20.033333333333335,13
HOU,0,109,1.5555555555555556,15.222222222222221,19.918032786885245,11
DEN,0,107,1.4444444444444444,14.88888888888889,19.774193548387096,10
IND,1,126,1.1111111111111112,13.0,19.61904761904762,7
LAL,0,97,1.2222222222222223,12.88888888888889,19.421875,13
SAS,0,104,1.2222222222222223,12.777777777777779,19.323076923076922,11
DAL,1,111,1.0,11.88888888888889,19.196969696969695,18
POR,1,108,1.2222222222222223,13.222222222222221,19.17910447761194,12
BOS,0,95,1.3333333333333333,13.0,19.073529411764707,13
CLE,0,108,1.2222222222222223,12.0,18.985507246376812,14
MIL,0,125,1.4444444444444444,12.11111111111111,18.914285714285715,14
IND,0,94,1.5555555555555556,12.444444444444445,18.845070422535212,6
MIN,1,146,1.3333333333333333,12.0,18.666666666666668,8
SAC,0,107,1.3333333333333333,12.11111111111111,18.52054794520548,9
LAC,0,90,1.3333333333333333,11.666666666666666,18.39189189189189,5
MEM,1,113,1.2222222222222223,11.0,18.213333333333335,7
PHX,0,101,1.1111111111111112,9.777777777777779,18.06578947368421,12
HOU,0,107,1.1111111111111112,9.777777777777779,17.98701298701299,14
DEN,0,111,2.0,18.0,18.0,27
SAC,0,103,2.5,22.5,22.5,27
LAL,1,95,2.6666666666666665,24.0,24.0,20
POR,1,108,2.5,23.0,23.0,28
DAL,1,99,2.6,24.0,24.0,12
MEM,0,91,2.3333333333333335,22.0,22.0,6
OKC,0,114,2.142857142857143,19.714285714285715,19.714285714285715,35
WSH,1,114,2.5,21.625,21.625,10
TOR,1,138,2.3333333333333335,20.333333333333332,20.333333333333332,23
HOU,0,112,2.5555555555555554,20.88888888888889,20.6,16
SAS,0,96,2.4444444444444446,19.666666666666668,20.181818181818183,8
DAL,0,73,2.2222222222222223,17.555555555555557,19.166666666666668,11
PHX,0,97,2.111111111111111,16.555555555555557,18.53846153846154,15
DAL,0,106,2.0,15.11111111111111,18.285714285714285,10
SAC,0,119,2.111111111111111,14.88888888888889,17.733333333333334,19
MIN,1,100,2.5555555555555554,16.333333333333332,17.8125,24
ORL,1,123,2.4444444444444446,15.11111111111111,18.176470588235293,22
BKN,0,90,2.7777777777777777,16.444444444444443,18.38888888888889,15
CLE,1,95,2.5555555555555554,15.555555555555555,18.210526315789473,23
PHI,0,117,2.5555555555555554,16.333333333333332,18.45,22
BOS,0,103,2.5555555555555554,17.88888888888889,18.61904761904762,9
WSH,1,106,2.5555555555555554,17.666666666666668,18.181818181818183,29
IND,0,100,2.6666666666666665,19.22222222222222,18.652173913043477,20
MIN,0,123,2.888888888888889,20.333333333333332,18.708333333333332,33
ATL,0,79,2.888888888888889,21.88888888888889,19.28,7
BOS,0,93,2.4444444444444446,20.0,18.807692307692307,18
UTA,1,107,2.111111111111111,19.555555555555557,18.77777777777778,4
NOP,1,102,1.8888888888888888,18.333333333333332,18.25,14
OKC,1,100,2.0,17.333333333333332,18.103448275862068,23
PHX,0,88,2.111111111111111,17.444444444444443,18.266666666666666,12
DEN,1,116,2.2222222222222223,17.77777777777778,18.06451612903226,13
PHX,0,92,2.0,16.0,17.90625,15
CHI,1,101,1.5555555555555556,15.444444444444445,17.818181818181817,23
MIL,1,100,1.2222222222222223,14.333333333333334,17.970588235294116,16
UTA,1,96,1.4444444444444444,15.333333333333334,17.914285714285715,27
CHA,0,113,1.6666666666666667,16.333333333333332,18.166666666666668,27
NOP,0,103,2.111111111111111,18.88888888888889,18.405405405405407,20
SAS,0,102,1.8888888888888888,19.555555555555557,18.44736842105263,14
LAC,0,109,1.8888888888888888,18.555555555555557,18.333333333333332,32
SAC,1,119,2.0,20.77777777777778,18.675,34
IND,1,110,2.2222222222222223,23.11111111111111,19.048780487804876,11
BKN,1,109,2.2222222222222223,22.666666666666668,18.857142857142858,13
LAC,1,122,2.2222222222222223,21.555555555555557,18.72093023255814,23
LAL,0,110,2.5555555555555554,22.333333333333332,18.818181818181817,15
LAC,0,91,2.3333333333333335,21.0,18.733333333333334,8
CLE,1,116,1.8888888888888888,18.88888888888889,18.5,15
NOP,1,110,2.111111111111111,18.333333333333332,18.425531914893618,21
ORL,0,90,2.0,19.11111111111111,18.479166666666668,15
MIA,0,107,2.0,17.22222222222222,18.408163265306122,15
CHA,1,96,1.7777777777777777,15.11111111111111,18.34,24
ATL,0,93,2.2222222222222223,16.555555555555557,18.45098039215686,9
PHI,1,110,2.0,16.11111111111111,18.26923076923077,17
POR,1,109,1.8888888888888888,15.444444444444445,18.245283018867923,4
DAL,0,100,1.7777777777777777,14.222222222222221,17.98148148148148,21
OKC,0,109,2.111111111111111,15.666666666666666,18.036363636363635,39
PHX,0,101,2.2222222222222223,18.333333333333332,18.410714285714285,9
SAS,0,98,2.2222222222222223,17.0,18.24561403508772,32
MIN,1,104,2.2222222222222223,18.88888888888889,18.482758620689655,20
MEM,0,111,2.3333333333333335,19.444444444444443,18.508474576271187,26
HOU,0,101,2.3333333333333335,19.666666666666668,18.633333333333333,21
DEN,0,89,2.3333333333333335,21.0,18.672131147540984,17
LAL,0,89,2.0,21.0,18.64516129032258,13
NYK,0,119,2.111111111111111,22.0,18.555555555555557,29
DET,1,101,2.111111111111111,22.88888888888889,18.71875,21
MIL,0,72,1.8888888888888888,20.88888888888889,18.753846153846155,7
CHI,0,90,1.7777777777777777,20.666666666666668,18.575757575757574,17
NYK,1,122,1.6666666666666667,19.0,18.55223880597015,25
TOR,1,109,1.5555555555555556,19.555555555555557,18.647058823529413,34
DET,0,97,1.3333333333333333,20.444444444444443,18.869565217391305,10
UTA,1,85,1.3333333333333333,19.22222222222222,18.742857142857144,20
LAC,1,109,1.3333333333333333,19.555555555555557,18.760563380281692,16
HOU,1,132,1.3333333333333333,19.88888888888889,18.72222222222222,25
MEM,0,92,2.0,10.0,10.0,15
LAC,1,104,1.5,12.5,12.5,11
MEM,0,103,2.0,12.0,12.0,36
OKC,0,87,3.0,18.0,18.0,11
POR,0,91,3.0,16.6,16.6,8
PHX,1,102,2.5,15.166666666666666,15.166666666666666,9
HOU,1,106,2.2857142857142856,14.285714285714286,14.285714285714286,14
DEN,1,109,2.375,14.25,14.25,36
OKC,0,116,2.7777777777777777,16.666666666666668,16.666666666666668,16
SAC,0,106,2.6666666666666665,17.333333333333332,16.6,11
UTA,1,119,2.888888888888889,16.88888888888889,16.09090909090909,29
SAC,1,93,2.7777777777777777,18.88888888888889,17.166666666666668,3
OKC,0,109,2.111111111111111,15.222222222222221,16.076923076923077,15
POR,1,101,2.0,15.666666666666666,16.0,32
MEM,0,90,2.6666666666666665,18.333333333333332,17.066666666666666,18
IND,0,91,2.7777777777777777,19.333333333333332,17.125,12
SAS,0,95,2.6666666666666665,19.11111111111111,16.823529411764707,20
PHX,0,91,2.3333333333333335,17.333333333333332,17.0,10
PHI,0,79,2.4444444444444446,16.666666666666668,16.63157894736842,21
CHI,1,99,2.4444444444444446,17.77777777777778,16.85,21
LAC,0,86,2.3333333333333335,16.88888888888889,17.047619047619047,4
SAS,0,91,2.0,22.0,22.0,9
SAS,1,97,1.5,15.5,15.5,22
SAS,0,92,2.6666666666666665,17.666666666666668,17.666666666666668,16
SAS,1,100,2.75,17.25,17.25,22
DEN,1,92,2.6,18.2,18.2,22
DEN,0,100,2.8333333333333335,18.833333333333332,18.833333333333332,15
DEN,1,115,2.5714285714285716,18.285714285714285,18.285714285714285,31
DEN,1,110,3.0,19.875,19.875,29
DEN,1,131,3.111111111111111,20.88888888888889,20.88888888888889,30
DEN,0,95,3.3333333333333335,21.77777777777778,21.8,19
POR,1,99,3.6666666666666665,22.88888888888889,21.545454545454547,15
SAS,1,116,3.5555555555555554,22.11111111111111,21.0,35
LAL,0,116,4.0,24.22222222222222,22.076923076923077,47
OKC,0,97,4.777777777777778,27.0,23.857142857142858,22
MIN,1,105,4.666666666666667,27.0,23.733333333333334,24
UTA,0,90,4.777777777777778,28.0,23.75,22
PHX,1,111,4.555555555555555,27.0,23.647058823529413,18
NOP,1,98,4.444444444444445,25.77777777777778,23.333333333333332,20
POR,1,125,4.444444444444445,24.666666666666668,23.157894736842106,39
SAC,0,98,4.777777777777778,26.88888888888889,23.95,17
LAL,1,109,4.555555555555555,27.11111111111111,23.61904761904762,25
WSH,1,101,4.111111111111111,26.0,23.681818181818183,35
SAS,0,93,3.7777777777777777,24.666666666666668,24.17391304347826,24
NOP,1,93,3.888888888888889,24.88888888888889,24.166666666666668,30
HOU,1,108,4.333333333333333,25.555555555555557,24.4,29
CHI,0,95,4.444444444444445,26.333333333333332,24.576923076923077,8
DET,1,105,4.111111111111111,25.22222222222222,23.962962962962962,31
NYK,1,92,4.222222222222222,26.444444444444443,24.214285714285715,26
MIL,0,93,4.111111111111111,25.0,24.275862068965516,16
HOU,0,88,4.111111111111111,24.88888888888889,24.0,24
SAC,1,87,4.111111111111111,24.77777777777778,24.0,13
TOR,1,125,3.6666666666666665,22.333333333333332,23.65625,26
PHI,0,97,3.4444444444444446,22.555555555555557,23.727272727272727,30
BOS,0,86,3.111111111111111,22.555555555555557,23.91176470588235,25
NYK,0,105,2.888888888888889,22.11111111111111,23.942857142857143,54
IND,0,97,4.111111111111111,27.22222222222222,24.77777777777778,38
MIN,1,100,4.333333333333333,28.0,25.135135135135137,18
SAS,1,107,3.7777777777777777,27.11111111111111,24.94736842105263,19
PHX,1,108,3.888888888888889,27.444444444444443,24.794871794871796,20
UTA,0,101,3.7777777777777777,27.0,24.675,29
HOU,0,107,4.0,28.77777777777778,24.78048780487805,27
DAL,0,91,4.0,28.88888888888889,24.833333333333332,18
MEM,0,93,3.7777777777777777,27.555555555555557,24.674418604651162,32
OKC,0,98,3.888888888888889,28.333333333333332,24.84090909090909,14
HOU,0,109,2.888888888888889,23.88888888888889,24.6,7
PHX,1,113,2.2222222222222223,20.444444444444443,24.217391304347824,29
TOR,1,114,2.7777777777777777,21.666666666666668,24.319148936170212,17
MIL,0,102,2.5555555555555554,21.444444444444443,24.166666666666668,26
CHI,0,87,2.888888888888889,22.11111111111111,24.20408163265306,21
OKC,1,104,2.7777777777777777,21.22222222222222,24.14,31
LAC,1,106,2.888888888888889,21.666666666666668,24.274509803921568,28
NOP,1,116,3.4444444444444446,22.77777777777778,24.346153846153847,20
DEN,0,105,3.2222222222222223,21.444444444444443,24.264150943396228,29
POR,1,103,3.7777777777777777,23.11111111111111,24.35185185185185,22
MEM,0,87,4.0,24.77777777777778,24.30909090909091,24
LAC,0,89,3.7777777777777777,24.22222222222222,24.303571428571427,10
LAC,1,115,3.7777777777777777,23.444444444444443,24.05263157894737,31
BOS,1,101,3.888888888888889,24.0,24.17241379310345,22
PHI,1,96,4.0,24.11111111111111,24.135593220338983,11
UTA,1,94,3.7777777777777777,21.88888888888889,23.916666666666668,23
LAL,0,115,3.5555555555555554,21.333333333333332,23.901639344262296,20
CHA,1,115,3.6666666666666665,21.333333333333332,23.838709677419356,27
SAC,0,127,3.7777777777777777,21.11111111111111,23.88888888888889,32
NOP,1,103,4.222222222222222,22.22222222222222,24.015625,13
ATL,1,115,3.888888888888889,21.0,23.846153846153847,18
ORL,0,85,4.111111111111111,21.88888888888889,23.757575757575758,25
MIA,1,97,3.6666666666666665,21.22222222222222,23.776119402985074,9
CHA,1,104,3.3333333333333335,19.77777777777778,23.558823529411764,27
WSH,1,101,3.6666666666666665,21.555555555555557,23.608695652173914,22
BKN,1,109,3.4444444444444446,21.444444444444443,23.585714285714285,28
DET,1,104,3.6666666666666665,22.333333333333332,23.64788732394366,22
ORL,0,94,3.2222222222222223,21.77777777777778,23.625,25
IND,1,103,2.7777777777777777,21.0,23.643835616438356,20
DEN,1,106,3.0,21.77777777777778,23.594594594594593,20
MIN,1,96,3.111111111111111,22.0,23.546666666666667,20
DEN,0,91,3.4444444444444446,21.444444444444443,23.5,6
BKN,1,102,3.5555555555555554,21.11111111111111,23.272727272727273,25
DAL,1,105,3.3333333333333335,20.88888888888889,23.294871794871796,31
OKC,0,109,3.4444444444444446,21.88888888888889,23.39240506329114,22
MIN,1,106,3.3333333333333335,21.22222222222222,23.375,17
ATL,1,92,2.888888888888889,20.666666666666668,23.296296296296298,12
DEN,0,101,2.5555555555555554,19.22222222222222,23.158536585365855,19
LAL,0,77,2.5555555555555554,19.11111111111111,23.10843373493976,18
CLE,1,106,2.3333333333333335,18.88888888888889,23.047619047619047,21
SAC,0,92,2.0,19.0,23.023529411764706,12
LAC,1,114,2.0,19.666666666666668,22.8953488372093,23
MEM,0,94,2.0,19.444444444444443,22.896551724137932,26
PHX,1,87,2.3333333333333335,18.88888888888889,22.931818181818183,5
LAC,1,100,3.0,33.0,33.0,24
LAC,0,103,2.5,28.5,28.5,17
LAC,1,118,3.0,24.666666666666668,24.666666666666668,33
LAC,0,96,4.0,26.75,26.75,16
LAC,0,98,3.8,24.6,24.6,24
LAC,1,109,3.3333333333333335,24.5,24.5,14
MIN,1,130,3.142857142857143,23.0,23.0,32
POR,0,117,3.625,24.125,24.125,47
LAL,1,112,4.0,26.666666666666668,26.666666666666668,30
DEN,0,99,4.111111111111111,26.333333333333332,27.0,24
UTA,1,130,4.111111111111111,26.333333333333332,26.727272727272727,31
SAC,1,102,4.222222222222222,27.88888888888889,27.083333333333332,13
SAS,0,90,3.6666666666666665,25.666666666666668,26.0,11
DAL,1,122,3.4444444444444446,25.11111111111111,24.928571428571427,23
NYK,0,84,3.6666666666666665,25.0,24.8,32
MEM,1,100,4.111111111111111,27.0,25.25,33
SAS,0,90,3.888888888888889,27.11111111111111,25.705882352941178,20
MIL,1,115,3.2222222222222223,24.11111111111111,25.38888888888889,31
ORL,1,103,3.111111111111111,24.22222222222222,25.68421052631579,23
POR,1,113,3.2222222222222223,24.11111111111111,25.55,37
CLE,0,94,3.3333333333333335,24.77777777777778,26.095238095238095,27
LAC,0,98,3.6666666666666665,26.333333333333332,26.136363636363637,13
DAL,1,108,3.7777777777777777,26.555555555555557,25.565217391304348,10
PHX,1,113,3.5555555555555554,25.11111111111111,24.916666666666668,18
ATL,1,111,3.0,23.555555555555557,24.64,13
BOS,1,108,2.5555555555555554,21.333333333333332,24.192307692307693,14
IND,1,98,2.5555555555555554,20.666666666666668,23.814814814814813,19
TOR,0,98,2.4444444444444446,19.333333333333332,23.642857142857142,34
NYK,1,126,2.5555555555555554,20.555555555555557,24.0,27
CHI,0,83,2.4444444444444446,19.444444444444443,24.1,5
DET,1,104,2.0,17.0,23.483870967741936,19
BKN,1,93,2.111111111111111,17.666666666666668,23.34375,17
